          dates,Median: Non-structural shadow-rate VAR (ex Yields),5%: Non-structural shadow-rate VAR (ex Yields),95%: Non-structural shadow-rate VAR (ex Yields),Median: General shadow-rate VAR (ex Yields),5%: General shadow-rate VAR (ex Yields),95%: General shadow-rate VAR (ex Yields),Median: Non-structural shadow-rate VAR (w/restrictions) (w/Yields),5%: Non-structural shadow-rate VAR (w/restrictions) (w/Yields),95%: Non-structural shadow-rate VAR (w/restrictions) (w/Yields)
        2013-12,       -5.9865425350449319e-01,       -1.7142430562380371e+00,       -1.1814670626793695e-01,       -1.5357920229795977e-01,       -5.3790436849993939e-01,        1.3169673837312296e-01,       -1.8675004219805178e+00,       -3.0072146209510340e+00,       -9.9260687221795330e-01
        2014-01,       -5.8265532947959708e-01,       -1.7227930597448737e+00,       -8.0879287995108046e-02,       -1.2985873311491380e-01,       -5.1838792376398368e-01,        1.5397617870091224e-01,       -1.7754232626470534e+00,       -2.8839820540674452e+00,       -9.0660358672039876e-01
        2014-02,       -5.4108069827650207e-01,       -1.6300319233705873e+00,       -2.7056390281306159e-02,       -1.0697095207179544e-01,       -5.0439912705926160e-01,        1.6010684816872106e-01,       -1.7108777956579684e+00,       -2.7517515364639866e+00,       -9.1050742984743804e-01
        2014-03,       -5.5217173786138374e-01,       -1.5993912105172281e+00,       -7.5496394614537055e-02,       -1.6897573218074019e-01,       -5.2593299222442447e-01,        1.4373983043933114e-01,       -1.6966596422194371e+00,       -2.7313525449966982e+00,       -8.7977658820609261e-01
        2014-04,       -4.8503242599036678e-01,       -1.4042412622450406e+00,       -3.7525237974637138e-02,       -1.0121140974822945e-01,       -4.6396757012366302e-01,        1.8321756127954655e-01,       -1.6346633467583613e+00,       -2.6326571222981143e+00,       -8.7570254471804698e-01
        2014-05,       -4.2324738524624583e-01,       -1.4906234699468848e+00,        6.3066767980250252e-03,       -7.5202212082616557e-02,       -4.2306153232439103e-01,        1.8505125857284008e-01,       -1.5428229834116298e+00,       -2.4970861799994868e+00,       -7.9396960699591834e-01
        2014-06,       -3.1689261974413879e-01,       -1.2294191653865587e+00,        7.9582413016887260e-02,       -1.2484397210739327e-02,       -3.8433756790392681e-01,        2.0193391139101463e-01,       -1.3861937136606803e+00,       -2.2016619746395318e+00,       -6.1638292966616548e-01
        2014-07,       -2.2014901280043375e-01,       -1.1350945302742819e+00,        1.3713800595250347e-01,        1.4810320299346006e-02,       -3.4163292466252493e-01,        2.1082259602537690e-01,       -1.2182556806909666e+00,       -1.9931210184482846e+00,       -5.3236801219712504e-01
        2014-08,       -1.9843802103128688e-01,       -1.0415301442616240e+00,        1.1581537039288435e-01,       -4.3448905130176796e-02,       -3.8066468734100750e-01,        1.8512880480332872e-01,       -1.1960949309667943e+00,       -1.9151294758641040e+00,       -5.2803550047990444e-01
        2014-09,       -1.2932893430715897e-01,       -8.3068381453581630e-01,        1.6598539542655466e-01,        3.5136230068140268e-03,       -3.1740643960691245e-01,        2.0011907606710855e-01,       -1.0510300211247876e+00,       -1.7254488766285263e+00,       -4.2452112559662236e-01
        2014-10,       -7.6532575878527825e-02,       -7.3385250547114489e-01,        1.7892687626432505e-01,        3.1730233935182275e-02,       -2.7537235547119521e-01,        2.1823913360833636e-01,       -9.9137502983629844e-01,       -1.6159548282384368e+00,       -4.2256579412826345e-01
        2014-11,       -8.0011782777415302e-02,       -6.1568004704337231e-01,        1.9321557582358351e-01,        2.8449068457639663e-02,       -2.5614950837459682e-01,        2.1074587197311107e-01,       -9.6659019451100980e-01,       -1.5671195728373890e+00,       -4.2289393932177710e-01
        2014-12,       -8.1321516333099808e-02,       -6.0140048359694909e-01,        1.8089753896091865e-01,        3.3405844703480521e-02,       -2.6898936702855003e-01,        2.1758162897441047e-01,       -8.7815160971440931e-01,       -1.4452650441958412e+00,       -3.5712791397853977e-01
