dates,EXCESSBONDPREMIUM,UNRATE,PCEPI,FEDFUNDS
725493,0.0148224704435964,7.2,2.20561677317459,6.85
725524,0.0750501088748032,7.2,4.44346208670456,6.92
725554,0.719066418228505,7,0.310427023664595,6.56
725585,0.693206752464793,6.9,1.50664716985531,6.17
725616,0.317218147906944,7,3.91286672853806,5.89
725646,0.524427927663816,7,2.16097081551894,5.85
725677,0.614038058077214,6.9,2.13509479905394,6.04
725707,0.652523005442823,6.6,1.62628451900702,6.91
725738,0.520962293222507,6.6,5.58726530899314,6.43
725769,0.568322660047712,6.6,4.21156429136751,6.1
725797,0.457285939141725,6.6,3.15443297641274,6.13
725828,-0.272305961009505,6.3,4.46725974930402,6.37
725858,0.184818121458665,6.3,3.04812853611054,6.85
725889,0.171891875146331,6.2,4.54697008997229,6.73
725919,0.254936809833759,6.1,2.74997882411938,6.58
725950,0.27370196900713,6,4.73322702916263,6.73
725981,0.247002311253042,5.9,4.03311514268729,7.22
726011,-0.651956743233735,6,3.8072649961304,7.29
726042,0.253036217113642,5.8,2.29129166887887,6.69
726072,-0.00334509024753559,5.7,2.20230174046598,6.77
726103,-0.138011431388389,5.7,4.6665141817595,6.83
726134,0.202374318300233,5.7,1.74790536760767,6.58
726163,-0.0690621249741621,5.7,4.13847843331183,6.58
726194,-0.000420379749374256,5.4,5.81591096594707,6.87
726224,0.0771865343456866,5.6,3.48022646577029,7.09
726255,0.177832530478834,5.4,5.10824630596538,7.51
726285,-0.107652187261578,5.4,5.80854671862632,7.75
726316,0.10994979816112,5.6,3.56214710906748,8.01
726347,0.272807497093085,5.4,5.82485590267972,8.19
726377,0.426009278168623,5.4,3.90157887680047,8.3
726408,0.294296565171486,5.3,2.79072261851532,8.35
726438,0.436944133565285,5.3,3.73794106202254,8.76
726469,0.456473438820885,5.4,6.13015233833067,9.12
726500,0.300864959044777,5.2,3.98899030942488,9.36
726528,0.530647547079673,5,4.45679235488825,9.85
726559,0.632038036625457,5.2,7.96880658955246,9.84
726589,0.448748781430549,5.2,4.37129999555772,9.81
726620,0.718376582017412,5.3,2.63494711329493,9.53
726650,0.949990814391294,5.2,2.86610963220397,9.24
726681,0.702789744296864,5.2,0.13819085158957,8.99
726712,0.698628637387023,5.3,2.66200104234713,9.02
726742,0.609164409103838,5.3,4.67867506172652,8.84
726773,0.673441327968754,5.4,2.62620758431602,8.55
726803,0.580994698400735,5.4,3.46015927741448,8.45
726834,0.318130571282222,5.4,9.06237088296749,8.23
726865,0.429063280911715,5.3,5.27745290844308,8.24
726893,0.460477332507873,5.2,4.50513131629364,8.28
726924,0.204966782572298,5.4,2.51473820864909,8.26
726954,0.0993460192381212,5.4,2.70082719063076,8.18
726985,0.150630512814609,5.2,5.2882444607615,8.29
727015,0.0740361868227251,5.5,2.96799098553215,8.15
727046,-0.195882661402387,5.7,7.95444903755822,8.13
727077,0.00121415472948971,5.9,7.33935732011481,8.2
727107,0.230095235395885,5.9,6.84711261548543,8.11
727138,0.307550613432464,6.2,1.52871012471465,7.81
727168,0.409368821410993,6.3,1.11733585564409,7.31
727199,0.446434966731969,6.4,4.55168795416334,6.91
727230,0.344130480692599,6.6,0.611767263618646,6.25
727258,0.2771156810504,6.8,0.240913619377991,6.12
727289,0.233122605867105,6.7,2.18454525842446,5.91
727319,0.214544901329126,6.9,4.96520608401028,5.78
727350,0.118948930517278,6.9,2.02447825692573,5.9
727380,0.228745103121624,6.8,1.89255649141522,5.82
727411,0.166622399325348,6.9,2.76914030471147,5.66
727442,0.185139690221436,6.9,4.13263848653926,5.45
727472,0.185868440764195,7,2.24321288451392,5.21
727503,0.186879445376757,7,2.63906374140532,4.81
727533,0.221418208784586,7.3,2.99602954949449,4.43
727564,0.0805248950003079,7.3,1.63105061733795,4.03
727595,0.115323570832652,7.4,3.03870896730878,4.06
727624,0.0587603054485635,7.4,2.90489327448462,3.98
727655,0.0530748393100358,7.4,3.23940267807785,3.73
727685,0.0161115865526891,7.6,1.58053096352617,3.82
727716,-0.00451470274632082,7.8,2.13400338681069,3.76
727746,-0.0754461027272728,7.7,3.95310889421943,3.25
727777,0.101445759729047,7.6,1.60613926003137,3.3
727808,0.189939653024787,7.6,1.96014417970716,3.22
727838,0.132900028802058,7.3,4.23011279912338,3.1
727869,0.0680244544070996,7.4,2.35740790571093,3.09
727899,0.132128447082559,7.4,2.08766473106827,2.92
727930,0.0773594205899792,7.3,2.9307492977015,3.02
727961,0.0436676087295511,7.1,1.79727798893765,3.03
727989,0.0131758844957686,7,2.46247741196051,3.07
728020,0.0393605228761831,7.1,3.17616019420193,2.96
728050,0.0114439702324203,7.1,3.70948517201448,3
728081,-0.0688415073309472,7,0.419220080246774,3.04
728111,-0.0716978906300001,6.9,1.90211701196965,3.06
728142,-0.0396102331056451,6.8,2.05577947751294,3.03
728173,0.0143972535042816,6.7,1.25264603829933,3.09
728203,-0.026488190857495,6.8,3.76744596439984,2.99
728234,-0.145278001471179,6.6,2.26864446832025,3.02
728264,-0.155626036664622,6.5,0.276792666221937,2.96
728295,-0.239099811915873,6.6,0.397777637298091,3.05
728326,-0.447729636421294,6.6,2.78075760433083,3.25
728354,-0.32656322682314,6.5,3.30778054218577,3.34
728385,-0.277158170739329,6.4,1.40992407788865,3.56
728415,-0.280755434607689,6.1,1.73434008653643,4.01
728446,-0.32775450214314,6.1,2.93065549806464,4.25
728476,-0.31197940396816,6.1,3.77700074684562,4.26
728507,-0.257729360091043,6,2.74410499450788,4.47
728538,-0.404783255638699,5.9,1.34419479355117,4.73
728568,-0.301269814130104,5.8,2.02196169580731,4.76
728599,-0.265914010175776,5.6,2.28970479990878,5.29
728629,-0.189224012688175,5.5,0.779198807762427,5.45
728660,-0.237091486132593,5.6,2.41906575757724,5.53
728691,-0.292848059782583,5.4,2.12745057200472,5.92
728719,-0.30282767459619,5.4,2.20788129616878,5.98
728750,-0.246479021334781,5.8,3.1614811094574,6.05
728780,-0.341026187032171,5.6,1.84594767060595,6.01
728811,-0.153240892375813,5.6,1.17321722242281,6
728841,-0.327690508740213,5.7,1.4900075159094,5.85
728872,-0.197498672111342,5.7,2.59054829401038,5.74
728903,-0.176104083688427,5.6,0.817785474234611,5.8
728933,-0.128681302116634,5.5,3.11582454854467,5.76
728964,-0.0522593631710271,5.6,-0.0332815620172511,5.8
728994,-0.0589964280558095,5.6,2.29426503800632,5.6
729025,-0.104692075591524,5.6,2.67111040130814,5.56
729056,-0.325625859777768,5.5,1.8877561953996,5.22
729085,-0.348047998503296,5.5,3.61816791279992,5.31
729116,-0.297798070571908,5.6,3.59084438592312,5.22
729146,-0.328629694315179,5.6,2.07055266094578,5.24
729177,-0.282532163402686,5.3,-0.0164189008916793,5.27
729207,-0.335905881316735,5.5,2.54225221001647,5.4
729238,-0.36802657221369,5.1,1.12998213752498,5.22
729269,-0.389884141415241,5.2,3.38357610757463,5.3
729299,-0.321930429636241,5.2,3.63446497702924,5.24
729330,-0.292853027122347,5.4,2.12992312592206,5.31
729360,-0.395812663491052,5.4,1.37999162860787,5.29
729391,-0.326384566124569,5.3,1.55667283058918,5.25
729422,-0.474186497401678,5.2,2.52529433542819,5.19
729450,-0.50263057304419,5.2,1.26065711218679,5.39
729481,-0.458139602520623,5.1,1.17864720700318,5.51
729511,-0.454179045096504,4.9,-0.564960362325095,5.5
729542,-0.56018048734681,5,1.54897025756178,5.56
729572,-0.532363447637623,4.9,0.709277041686107,5.52
729603,-0.489270369301035,4.8,0.966520845871699,5.54
729634,-0.579131878297296,4.9,2.89490048456749,5.54
729664,-0.430592573124625,4.7,1.55713877573298,5.5
729695,-0.348182194558409,4.6,0.048126733738485,5.52
729725,-0.394095874603876,4.7,-0.256698220135121,5.5
729756,-0.35113656145811,4.6,0.593531322882512,5.56
729787,-0.349608552761228,4.6,-0.609576785025467,5.51
729815,-0.401354130127825,4.7,0.192531387040162,5.49
729846,-0.429883136674513,4.3,1.47504861915664,5.45
729876,-0.389050100880755,4.4,1.64926469568059,5.49
729907,-0.354914309805111,4.5,-1.00850431148558,5.56
729937,-0.315072227608112,4.5,2.95907432327027,5.54
729968,0.093204946998868,4.5,1.66028123547619,5.55
729999,0.0601477532430263,4.6,-0.702146353712152,5.51
730029,0.199607317357711,4.5,2.6309331080526,5.07
730060,0.175335139779879,4.4,0.0637086391726882,4.83
730090,0.0464405227349205,4.4,1.19391115211158,4.68
730121,0.0533230151593964,4.3,1.70125966738155,4.63
730152,-0.192927750411436,4.4,-0.683393943415567,4.76
730180,-0.178203716164097,4.2,0.905810339317981,4.81
730211,-0.219784954173029,4.3,5.78421293316822,4.74
730241,-0.215016600527567,4.2,0.774392398845691,4.74
730272,-0.155376484051533,4.3,0.379111985987635,4.76
730302,-0.105102768853716,4.3,3.1861217455468,4.99
730333,-0.0395770810172122,4.2,2.17180387150187,5.07
730364,0.0806833386647829,4.2,4.30051731594894,5.22
730394,0.10342235326806,4.1,2.03501314131032,5.2
730425,0.0602723912327716,4.1,1.07872202163648,5.42
730455,-0.164917698881245,4,2.778320981988,5.3
730486,0.0279210262970717,4,3.26954467589609,5.45
730517,0.102909729322585,4.1,3.75674618930084,5.73
730546,0.366928049163579,4,5.15025568729257,5.85
730577,0.524523121862699,3.8,-1.00357045316528,6.02
730607,0.706520717738905,4,1.00357045316528,6.27
730638,0.747032068765536,4,4.0674349160593,6.53
730668,0.828079154797264,4,2.99552746874099,6.54
730699,1.00792474301138,4.1,-0.0767150611110878,6.5
730730,1.10091988551997,3.9,5.14437421063434,6.52
730760,1.51172415714045,3.9,1.63361921448839,6.51
730791,1.5726699735995,3.9,1.67710650241801,6.51
730821,1.57356551786933,3.9,1.84211397143983,6.4
730852,1.15223141688753,4.2,5.79711272359873,5.98
730883,1.13881341000513,4.2,1.86066484178582,5.49
730911,1.07149253894438,4.3,0.105804777658136,5.31
730942,0.887249774192366,4.4,2.09905105462482,4.8
730972,0.750098510830107,4.3,3.14923239317508,4.21
731003,0.987864158601245,4.5,2.13496435396934,3.97
731033,0.749650361125189,4.6,-0.405651581709776,3.77
731064,0.756800374407802,4.9,-0.150276132590577,3.65
731095,1.19418704463466,5,-4.0796652121621,3.07
731125,1.02690853201581,5.3,4.21491457832417,2.49
731156,-0.12483615185387,5.5,-0.811724946397163,2.09
731186,0.390033466927079,5.7,-1.23367027740713,1.82
731217,0.577893718675575,5.7,1.08329056844561,1.73
731248,0.748858696066082,5.7,1.99851034491196,1.74
731276,0.257141706235864,5.7,3.2685720214559,1.73
731307,0.380282009158682,5.9,5.00551705398671,1.75
731337,0.477237160315855,5.8,0.775107163151034,1.75
731368,0.917554601398936,5.8,1.50406750764134,1.75
731398,1.51354933876568,5.8,2.64615263133479,1.73
731429,1.42923456366232,5.7,2.35877414786607,1.74
731460,1.58732276789573,5.7,2.16184259254177,1.75
731490,1.40147980480038,5.7,2.17272209968975,1.75
731521,1.00253206650479,5.9,1.19553529153293,1.34
731551,0.867999210027924,6,1.15013156674877,1.24
731582,0.839701767650328,5.8,3.57605194591741,1.24
731613,0.61287281653001,5.9,5.05887486814096,1.26
731641,0.104588256993785,5.9,3.06890587900419,1.25
731672,0.0192461779490478,6,-2.03044497891796,1.26
731702,-0.530354006493369,6.1,-1.3750565302086,1.26
731733,-0.423193034751881,6.3,1.28733402569274,1.22
731763,-1.09625563853662,6.2,3.51848611754662,1.01
731794,-0.216966594263715,6.1,4.04589608773307,1.03
731825,-0.580143893311896,6.1,3.75714290421669,1.01
731855,-0.538243219446587,6,0.144827836086492,1.01
731886,-0.573738871159712,5.8,1.51963790215959,1
731916,-0.542404284295893,5.7,2.64392071654633,0.98
731947,-0.720538567672713,5.7,4.62367260500081,1
731978,-0.356803757246077,5.6,2.556247974778,1.01
732007,-0.545755471068998,5.8,1.84916447923236,1
732038,-0.767780093370397,5.6,2.23239904108361,1
732068,-0.383156907918768,5.6,3.8824822734,1
732099,-0.397296390883086,5.6,3.42952923273998,1.03
732129,-0.333423151171244,5.5,1.10787593978117,1.26
732160,-0.417341248871355,5.4,0.624504727448993,1.43
732191,-0.562383337273974,5.4,2.35316429421353,1.61
732221,-0.530515662464782,5.5,5.14385422036163,1.76
732252,-0.685691732625937,5.4,4.61631053800211,1.93
732282,-0.733399424338993,5.4,0.645991823676084,2.16
732313,-0.697646790028253,5.3,1.57139706071128,2.28
732344,-0.953099726044364,5.4,3.33240202953498,2.5
732372,-0.658919940749519,5.2,3.58807268948063,2.63
732403,-0.407338453232918,5.2,3.35497112405143,2.79
732433,-0.32809341375312,5.1,0.680985130412637,3
732464,-0.476789937032976,5,0.736140954720454,3.04
732494,-0.57832481271673,5,5.0850762820307,3.26
732525,-0.552850443498331,4.9,4.82953563977127,3.5
732556,-0.487032336415365,5,11.5258336635328,3.62
732586,-0.330200574900443,5,1.90798554693217,3.78
732617,-0.334625052427359,5,-2.49461917976994,4
732647,-0.295048830232623,4.9,0,4.16
732678,-0.356184143794498,4.7,5.79915139807596,4.29
732709,-0.337578712487039,4.8,0.719534360654706,4.49
732737,-0.42364106016613,4.7,2.31857929253714,4.59
732768,-0.466138543969033,4.7,5.55447054763327,4.79
732798,-0.367784499520297,4.6,3.23163606030015,4.94
732829,-0.384946074926459,4.6,2.95470719738802,4.99
732859,-0.290304919460334,4.7,4.09766947291104,5.24
732890,-0.300348418509448,4.7,3.76393430294968,5.25
732921,-0.374612231613628,4.5,-3.13579148635554,5.25
732951,-0.39174338094433,4.4,-2.84932495876404,5.25
732982,-0.376800694539705,4.5,0.415111397943591,5.25
733012,-0.499293233759583,4.4,4.26330921371019,5.24
733043,-0.551621832049788,4.6,3.99560852619629,5.25
733074,-0.567577738060736,4.5,3.71726945408355,5.26
733102,-0.382045920907854,4.4,4.3927498195675,5.26
733133,-0.384048381764407,4.5,2.80979599065034,5.25
733163,-0.605091279040913,4.4,3.48659606180064,5.25
733194,-0.389950759668658,4.6,2.53293399159986,5.25
733224,0.0108832522801463,4.7,1.83402144824321,5.26
733255,0.142410181852676,4.6,0.81131481886203,5.02
733286,0.0615447720383875,4.7,4.62186816747447,4.94
733316,-0.0128688886824393,4.7,3.6301564644436,4.76
733347,0.32083887506803,4.7,6.33616087982993,4.49
733377,0.475464345391616,5,2.78817732250083,4.24
733408,0.710855259857894,5,3.02609359896842,3.94
733439,0.913135216598902,4.9,2.37688716301037,2.98
733468,1.13276521243614,5.1,3.43494563037758,2.61
733499,0.65131781065601,5,2.22489860959385,2.28
733529,0.661843798115568,5.4,5.13728336918859,1.98
733560,0.799710876460706,5.6,8.66933079107817,2
733590,1.05973507752767,5.8,5.56898166715847,2.01
733621,1.23980666656987,6.1,-0.968304837997991,2
733652,1.77936240009915,6.1,0.993445205049071,1.81
733682,3.46609100724617,6.5,-7.94537847497132,0.97
733713,3.18048067750204,6.8,-14.2435284382707,0.39
733743,3.34593478333718,7.3,-6.72846156830076,0.16
733774,2.81295549628666,7.8,0.141634700666415,0.15
733805,3.18608784685487,8.3,2.13536921472013,0.22
733833,2.72919216673685,8.7,-1.31164418639749,0.18
733864,2.23156732933969,9,1.72284513275613,0.15
733894,1.35817493093411,9.4,1.24559265112261,0.18
733925,0.927242604965329,9.5,7.10208896809625,0.21
733955,0.32242388915508,9.5,0.127580854486808,0.16
733986,0.0850147613301409,9.6,3.47772789975807,0.16
734017,0.0433111934578121,9.8,1.94465817747194,0.15
734047,-0.139373278232605,10,4.53796966207065,0.12
734078,-0.0314186701830534,9.9,2.99477333988989,0.12
734108,-0.488438487753688,9.9,0.706535473350556,0.12
734139,-0.201908092609457,9.8,2.62063856201671,0.11
734170,-0.0156969532027476,9.8,-0.037757023071805,0.13
734198,-0.174945007946611,9.9,1.69789102084756,0.16
734229,-0.290904155451269,9.9,0.65336210857474,0.2
734259,-0.148509657850465,9.6,0.376777923909088,0.2
734290,0.0206446474659661,9.4,-0.502396858984966,0.18
734320,0.149105407201482,9.4,1.02968728522121,0.18
734351,-0.302516550493789,9.5,1.64315716672654,0.19
734382,-0.035007573177412,9.5,1.1901966366036,0.19
734412,-0.0269904218196451,9.4,3.81319832235434,0.19
734443,-0.16636578634509,9.8,2.39423965698968,0.19
734473,-0.432362637937453,9.3,2.71268106725344,0.18
734504,-0.0315161001814106,9.1,3.5991339422317,0.17
734535,-0.292395577170244,9,3.34124171726344,0.16
734563,-0.332967801338663,9,4.82218109254298,0.14
734594,-0.285617662621429,9.1,5.0602928561549,0.1
734624,-0.162523154531052,9,3.64686126668907,0.09
734655,-0.0372252317220099,9.1,-0.244409141746615,0.09
734685,-0.086673731199435,9,2.03929040271298,0.07
734716,-0.120637313485075,9,2.8151147537347,0.1
734747,0.414140662167855,9,1.6907664461403,0.08
734777,-0.11670056070705,8.8,0.02431019812974,0.07
734808,0.479216933805496,8.6,2.46492677219941,0.08
734838,0.252989254593553,8.5,0.679089714554237,0.07
734869,0.155690444150884,8.3,4.10273360257811,0.08
734900,0.0288755559641749,8.3,2.67916518152376,0.1
734929,-0.372899865218375,8.2,2.28823834892147,0.13
734960,-0.198601398683131,8.2,1.57514263526686,0.14
734990,-0.113820311403339,8.2,-1.34655860237238,0.16
735021,0.134748295390904,8.2,-0.601630431036781,0.16
735051,-0.0377068454393581,8.2,0.433204312681212,0.16
735082,-0.222285597357344,8.1,4.02372571279237,0.13
735113,-0.177069873458795,7.8,3.63974058560963,0.14
735143,-0.198448093102698,7.8,3.55722049442697,0.16
735174,-0.072455372600754,7.7,-0.810786672737862,0.16
735204,-0.18669492579079,7.9,-0.19085297403052,0.16
735235,-0.111259690357533,8,2.31204759178247,0.14
735266,-0.055753111123483,7.7,4.38540075975133,0.15
735294,-0.123289506565929,7.5,-1.57879921279616,0.14
735325,-0.151089303636662,7.6,-0.938767272225505,0.15
735355,-0.521090778593551,7.5,0.784337055166517,0.11
735386,-0.375230807907987,7.5,2.58705190243305,0.09
735416,-0.0293561330543226,7.3,1.49272906277034,0.09
735447,-0.122482033452033,7.2,1.84557178109337,0.08
735478,-0.153067737857441,7.2,0.472766676064396,0.08
735508,-0.0451630359645128,7.2,2.03077698118364,0.09
735539,-0.0172414578548277,6.9,1.87423602586101,0.08
735569,-0.163882272045363,6.7,2.38864589938004,0.09
735600,-0.320354412551741,6.6,2.27831074201958,0.07
735631,-0.226111275418241,6.7,0.703757302103369,0.07
735659,-0.292604904223138,6.7,2.40139478131525,0.08
735690,-0.373932564737538,6.2,2.32652239375071,0.09
735720,-0.38805262278698,6.3,2.06553554093034,0.09
735751,-0.320241651003738,6.1,1.35175830252869,0.1
735781,-0.327829348906974,6.2,1.80385535240219,0.09
735812,-0.310490096958877,6.1,-0.151186963231353,0.09
735843,-0.222805685838098,5.9,0.302354880947675,0.09
735873,-0.214581609415525,5.7,-0.302354880947675,0.09
735904,0.0514404569129381,5.8,-0.919161358720544,0.09
