dates,RPI,DPCERA3M086SBEA,INDPRO,CUMFNS,UNRATE,PAYEMS,CES0600000007,CES0600000008,WPSFD49207,PPICMM,PCEPI,WUXIASHADOWRATE,HOUST,SP500,EXUSUKx,TB6MS,GS1,GS5,GS10,BAA
728446,-1.64264215210892,7.14552919167133,7.82368197461061,82.7267,6.1,3.33451886423717,41.2,0.953516140753585,0.958849431758679,83.81664875144,2.93065549806464,4.68378122592799,7.25063551189868,10.4137648014735,17.4237485558761,4.55,5.27,6.7,7.1,8.65
728476,2.03157997278751,-0.789655541277767,1.50080092772278,82.7502,6.1,3.90128288806082,41.2,3.80650596737269,4.78278831624444,44.2631906123179,3.77700074684562,4.70136387674415,7.27170370688737,-9.08383005379712,16.0111718262736,4.75,5.48,6.91,7.3,8.8
728507,1.72919674562593,7.8732690663287,7.89831214057237,83.1817,6,2.99077303122317,41.1,1.89873457335512,4.76380141309392,36.9559189457036,2.74410499450788,4.74293162888099,7.27931883541462,33.6573545987008,-3.49639277428062,4.88,5.56,6.88,7.24,8.74
728538,5.22695686188399,1.80356826736805,3.73567781853978,83.2289,5.9,3.66033576148581,41.1,3.78847986332058,-2.85601086817415,19.9450574832483,1.34419479355117,5.07684064075015,7.29573507274928,7.0103292158187,18.4541808882335,5.04,5.76,7.08,7.46,8.98
728568,10.678673972555,7.44040073754206,9.64978524091329,83.7014,5.8,2.19501155673356,41.1,3.77655701162265,-3.81861897415483,61.5048565794837,2.02196169580731,5.27249469612321,7.27931883541462,-8.1223383466309,30.4886376300263,5.39,6.11,7.4,7.74,9.2
728599,-0.267558607416873,0.875749088113409,8.10502735801286,84.0795,5.6,4.26409817236859,41.2,2.82463841679448,5.72338127884215,68.6895207763541,2.28970479990878,5.9660258232882,7.32052696227274,-7.2663010455905,-12.9178866683595,5.72,6.54,7.72,7.96,9.32
728629,5.69664058717905,3.18622082731572,11.624922807237,84.6547,5.5,3.06162194056085,41.3,0.940070553365047,4.74872008704246,68.9656246973744,0.779198807762427,7.11696591754881,7.28276117960559,-15.2457846361095,-23.2543253345262,6.21,7.14,7.78,7.81,9.1
728660,5.56812388620287,-0.0582086294407702,2.50407030169661,84.4884,5.6,3.46591491918034,41.3,0,2.84023801231861,61.4322664454722,2.41906575757724,6.31897612319883,7.24921505711439,26.2319775805206,12.1789575064339,6.21,7.05,7.76,7.78,9.08
728691,2.71342700722457,-2.23346210540178,-1.61384569232581,83.9542,5.4,2.01717043356595,40.9,5.62501029971649,2.83353142281619,13.5679837388427,2.12745057200472,5.99082370658203,7.18235211188526,42.2438755789369,-1.98309331345796,6.03,6.7,7.37,7.47,8.85
728719,3.06209653570377,6.32060013931941,1.86245392108439,83.8528,5.4,2.15749788430486,41,1.86915925642044,1.88531067844906,-5.25822437586463,2.20788129616878,5.99939187314693,7.13009851012558,27.6423146742346,21.3359129122461,5.89,6.43,7.05,7.2,8.7
728750,1.40077927991697,-1.95466574413743,-1.95329725003113,83.2465,5.8,1.66170915875341,40.5,1.86625232016766,2.82242388051692,-22.0329076510886,3.1614811094574,5.92735561215657,7.14440718032114,35.3890549542157,5.31255739088601,5.77,6.27,6.86,7.06,8.6
728780,0.944128133211564,8.6268132904145,5.55736438456655,83.199,5.6,-0.20502481704483,40.5,1.86335441167316,0.939334685928728,-33.4326774631464,1.84594767060595,5.79438634954385,7.18083119904456,36.9897079428771,-14.9499539019842,5.67,6,6.41,6.63,8.2
728811,4.4433971003933,9.57676027137531,3.95718566113601,83.236,5.6,2.42729508582755,40.7,3.7180509992039,0,-6.32412530908404,1.17321722242281,5.67747200995314,7.15539630189673,35.0828252086298,5.58105462050977,5.42,5.64,5.93,6.17,7.9
728841,4.07756213375094,-3.26665966296886,-5.08973221562883,82.3027,5.7,0.961366418937359,40.7,7.4017196887775,1.87646637141938,18.0927714494416,1.4900075159094,5.53971165647244,7.2868764117507,39.4374977577002,0.300940440448683,5.37,5.59,6.01,6.28,8.04
728872,1.77386891138127,5.87740699460362,15.6781388421166,82.8816,5.7,2.59388903366542,40.8,0,-0.937866401783793,7.00618273052598,2.59054829401038,5.49249788588316,7.25559127425367,3.74032976939418,-21.5565568990771,5.41,5.75,6.24,6.49,8.19
728903,4.67046461167868,2.79501017624604,4.8013735072594,83.2325,5.6,2.45595795445439,40.8,1.8433183348078,1.87500038147022,-9.35069666419963,0.817785474234611,5.54190451131708,7.22183582528845,41.4707139337128,-5.98887928067966,5.3,5.62,6,6.2,7.93
728933,1.79352678616951,-4.68103918830529,-1.84199731504542,82.7373,5.5,1.58707304847567,40.9,2.75967925383753,2.80701882380612,-38.1489079793962,3.11582454854467,5.49329901046092,7.22183582528845,8.57375235206206,14.4603107806162,5.32,5.59,5.86,6.04,7.75
728964,3.94545706498945,9.96801744465614,2.89118238995556,82.3838,5.6,1.46312982233781,40.8,1.83626661692085,2.80046801546447,-14.6244193238918,-0.0332815620172511,5.42126620313277,7.28069719538474,25.682171633629,-11.7692957172801,5.27,5.43,5.69,5.93,7.68
728994,2.24072001432418,7.61464536948857,4.18266918386507,82.2404,5.6,1.47149006789391,40.5,0.917080671307247,5.58140541087653,4.08024874580271,2.29426503800632,5.33246134496444,7.26612877955645,37.7652850910891,-17.0160762886008,5.13,5.31,5.51,5.71,7.49
729025,4.10951881065884,-5.42331248718995,-6.51122304889071,81.2806,5.6,-0.0405686370683611,39.5,12.7660778460669,3.70656665350388,-34.7131642874157,2.67111040130814,5.02564375725774,7.29097477814298,-0.292923458927774,-9.14871013279122,4.92,5.09,5.36,5.65,7.47
729056,9.99376314057798,9.17513282988978,17.0338522387354,82.0093,5.5,4.2825550082938,40.9,-4.54373886300363,0,-55.7840873108582,1.8877561953996,5.04741368199452,7.30720231476474,66.7028239951129,5.6382249378651,4.77,4.94,5.38,5.81,7.63
729085,4.22313536309815,5.7922384506913,-1.82609792329345,81.3713,5.5,2.56423296805579,40.7,-2.73452454070533,7.37896252842027,7.880363963924,3.61816791279992,5.15158036118086,7.26122509197192,-4.57192769662775,-6.97334729817807,4.96,5.34,5.97,6.27,8.03
729116,3.1835293193275,4.42804930494489,11.9992734575437,81.9246,5.6,1.66281083582831,40.8,13.6107319247218,3.67253538372729,0,3.59084438592312,5.18779164513949,7.32383056620232,0.185437013596257,-8.75426970818252,5.06,5.54,6.3,6.51,8.19
