date,gz_spread,ebp,est_prob
1973-01-01,1.116861064445896,0.02206601755005954,0.23381518569113133
1973-02-01,1.0454231431408945,-0.00937314175017745,0.2227458993849044
1973-03-01,0.9956893667936306,-0.1027890841734196,0.1916752097043829
1973-04-01,0.955332719808464,-0.16019602243441977,0.17396993717050782
1973-05-01,1.007392811089747,-0.06126841125746596,0.20514401320571507
1973-06-01,1.1422628080798305,0.04455739328201202,0.24191752960918536
1973-07-01,0.9332407654266386,-0.32637318817733574,0.128793270760539
1973-08-01,0.963220967891587,-0.18177192697251143,0.16759343409573366
1973-09-01,0.770816861878995,-0.3499924114327646,0.12310185316983643
1973-10-01,1.2497138005254331,0.15126193638249852,0.2823463803116961
1973-11-01,1.3092866490080168,0.07550974953018175,0.2533124404249834
1973-12-01,1.2524068787218463,0.02323602540135927,0.23423292990125127
1974-01-01,1.1290295543952746,-0.023526579416139,0.2178618381040527
1974-02-01,1.2493236783221082,0.167358558527408,0.2887159068683444
1974-03-01,1.1626342977621722,-0.08748884464757367,0.1965741580731029
1974-04-01,1.1758896088595745,0.06626747834913971,0.2498806756780612
1974-05-01,1.2171906475174696,0.07547314135708882,0.2532987986690748
1974-06-01,1.751911997703672,0.6661692537433033,0.5094734696358741
1974-07-01,2.439163257937959,1.2133438061770403,0.7456808079360472
1974-08-01,1.9359294728723535,0.8078799863075741,0.5748664161712499
1974-09-01,2.194856235330312,0.8975544393420727,0.6153182978098841
1974-10-01,2.4107975472806484,1.0588760645540256,0.6847681735404667
1974-11-01,2.2072418424169995,1.0009013737752466,0.6604018454065688
1974-12-01,2.530087439423597,1.1610324781571255,0.7257603217602637
1975-01-01,1.6742991506953706,0.40141818042170896,0.38798815926251307
1975-02-01,1.5799738986631373,0.404643129929793,0.3894277433078879
1975-03-01,1.8300377598155575,0.5867692442321495,0.4726076946658959
1975-04-01,1.4900720316844875,0.22401769955653592,0.31165745683157686
1975-05-01,1.54039950108931,0.3398012022836481,0.36079959235222064
1975-06-01,1.4051214139131984,0.23615775554062668,0.3166739288549519
1975-07-01,1.429246002425822,0.35687125208058346,0.3682682426976458
1975-08-01,1.248116481763666,0.109874704255005,0.26628666429243697
1975-09-01,1.3649934006803193,0.28135625356428196,0.3356428053959638
1975-10-01,1.3048997034931271,0.0966634874992882,0.2612593582303844
1975-11-01,1.2765636594092629,0.16406085763060418,0.287405490538115
1975-12-01,1.2067277428759606,-0.0451824554009328,0.21050968135607775
1976-01-01,0.9720391975026756,-0.15388171565232578,0.17586485889776696
1976-02-01,1.0469007895261249,-0.06188068598922203,0.20494140007527437
1976-03-01,0.995522519169208,-0.1082374469397882,0.1899489223437574
1976-04-01,1.0375807310964726,-0.05074859431585876,0.2086437735037524
1976-05-01,1.0054848665207656,-0.11233800962604756,0.18865600360098309
1976-06-01,0.9980277055884572,-0.04512661111289529,0.2105284512324842
1976-07-01,0.9617176785764168,-0.08587942341141208,0.19709384799776636
1976-08-01,0.9067231111101016,-0.14690634731034635,0.17797330080654605
1976-09-01,0.8457769940052607,-0.19547511434459153,0.1636228097795744
1976-10-01,0.927172185466755,-0.11638077649564373,0.18738663290869648
1976-11-01,0.8363807472088767,-0.369637031867345,0.11850433373231944
1976-12-01,1.1008449514654142,-0.02760025061228765,0.21646762904804273
1977-01-01,0.9775058926526472,-0.3085901680511639,0.1331970829862267
1977-02-01,0.9206514937709136,-0.19882283631129927,0.1626621366230305
1977-03-01,0.9071250487410132,-0.16758439228097954,0.17176923744415556
1977-04-01,0.8503124293583652,-0.2513196432000492,0.14807839037208256
1977-05-01,0.7991848859930059,-0.2587256599601754,0.1460937008609712
1977-06-01,0.8388334153822724,-0.273013167110003,0.14231558346536036
1977-07-01,0.8732945856008134,-0.18555853629447272,0.16649007365446816
1977-08-01,0.9401793522927484,-0.1758264945498077,0.1693353231848399
1977-09-01,0.9433366491592144,-0.14572298576826215,0.17833257012327225
1977-10-01,0.9552974404098606,-0.13328292553531274,0.18213699228554736
1977-11-01,0.9350281806071988,-0.13967131201015293,0.18017699874040308
1977-12-01,0.7982260845989971,-0.32535849265870687,0.12904180124748713
1978-01-01,0.7722852808027243,-0.328278482191666,0.12832750259351
1978-02-01,0.7191687235261857,-0.3422539359789867,0.12494680999655589
1978-03-01,0.724144438446155,-0.3411491862333037,0.1252117646816003
1978-04-01,0.7369143187339418,-0.28795893089209157,0.13843473925216643
1978-05-01,0.7784348604544219,-0.24742031068579717,0.14913056462318133
1978-06-01,0.6284680760034279,-0.4541945248347682,0.10010246762073806
1978-07-01,0.625992028822881,-0.3666012980399681,0.1192067610782756
1978-08-01,0.620575869039057,-0.3790198828280438,0.11635177983627493
1978-09-01,0.6436323087965212,-0.3229198324549696,0.12964046437405696
1978-10-01,0.5794872265272164,-0.4915376594712295,0.09267586257895397
1978-11-01,0.6671743787992496,-0.2578477381064669,0.14632803131419175
1978-12-01,0.6499979599323955,-0.3882245011982419,0.1142672134051718
1979-01-01,0.7039829465584163,-0.26053056181132217,0.14561273785300818
1979-02-01,0.6638576645251245,-0.325984552026617,0.12888842057601246
1979-03-01,0.6509336057046974,-0.19042027150007457,0.1650803297009853
1979-04-01,0.6444352858071002,-0.23985938954819108,0.15118495772991655
1979-05-01,0.7059792549205227,-0.2692041160699029,0.14331630665941875
1979-06-01,0.7373058078232384,-0.18938291701365073,0.16538047812429985
1979-07-01,0.6516171960944988,-0.26375970656937,0.1447549072806657
1979-08-01,0.5858824075195032,-0.34083549637977073,0.12528706910562726
1979-09-01,0.6957506860999418,-0.15463436180339296,0.17563830623360613
