dates,EXCESSBONDPREMIUM
715511,NaN
715542,NaN
715570,NaN
715601,NaN
715631,NaN
715662,NaN
715692,NaN
715723,NaN
715754,NaN
715784,NaN
715815,NaN
715845,NaN
715876,NaN
715907,NaN
715936,NaN
715967,NaN
715997,NaN
716028,NaN
716058,NaN
716089,NaN
716120,NaN
716150,NaN
716181,NaN
716211,NaN
716242,NaN
716273,NaN
716301,NaN
716332,NaN
716362,NaN
716393,NaN
716423,NaN
716454,NaN
716485,NaN
716515,NaN
716546,NaN
716576,NaN
716607,NaN
716638,NaN
716666,NaN
716697,NaN
716727,NaN
716758,NaN
716788,NaN
716819,NaN
716850,NaN
716880,NaN
716911,NaN
716941,NaN
716972,NaN
717003,NaN
717031,NaN
717062,NaN
717092,NaN
717123,NaN
717153,NaN
717184,NaN
717215,NaN
717245,NaN
717276,NaN
717306,NaN
717337,NaN
717368,NaN
717397,NaN
717428,NaN
717458,NaN
717489,NaN
717519,NaN
717550,NaN
717581,NaN
717611,NaN
717642,NaN
717672,NaN
717703,NaN
717734,NaN
717762,NaN
717793,NaN
717823,NaN
717854,NaN
717884,NaN
717915,NaN
717946,NaN
717976,NaN
718007,NaN
718037,NaN
718068,NaN
718099,NaN
718127,NaN
718158,NaN
718188,NaN
718219,NaN
718249,NaN
718280,NaN
718311,NaN
718341,NaN
718372,NaN
718402,NaN
718433,NaN
718464,NaN
718492,NaN
718523,NaN
718553,NaN
718584,NaN
718614,NaN
718645,NaN
718676,NaN
718706,NaN
718737,NaN
718767,NaN
718798,NaN
718829,NaN
718858,NaN
718889,NaN
718919,NaN
718950,NaN
718980,NaN
719011,NaN
719042,NaN
719072,NaN
719103,NaN
719133,NaN
719164,NaN
719195,NaN
719223,NaN
719254,NaN
719284,NaN
719315,NaN
719345,NaN
719376,NaN
719407,NaN
719437,NaN
719468,NaN
719498,NaN
719529,NaN
719560,NaN
719588,NaN
719619,NaN
719649,NaN
719680,NaN
719710,NaN
719741,NaN
719772,NaN
719802,NaN
719833,NaN
719863,NaN
719894,NaN
719925,NaN
719953,NaN
719984,NaN
720014,NaN
720045,NaN
720075,NaN
720106,NaN
720137,NaN
720167,NaN
720198,NaN
720228,NaN
720259,NaN
720290,NaN
720319,NaN
720350,NaN
720380,NaN
720411,NaN
720441,NaN
720472,NaN
720503,NaN
720533,NaN
720564,NaN
720594,NaN
720625,0.0220660175500595
720656,-0.00937314175017745
720684,-0.10278908417342
720715,-0.16019602243442
720745,-0.061268411257466
720776,0.044557393282012
720806,-0.326373188177336
720837,-0.181771926972511
720868,-0.349992411432765
720898,0.151261936382499
720929,0.0755097495301817
720959,0.0232360254013593
720990,-0.023526579416139
721021,0.167358558527408
721049,-0.0874888446475737
721080,0.0662674783491397
721110,0.0754731413570888
721141,0.666169253743303
721171,1.21334380617704
721202,0.807879986307574
721233,0.897554439342073
721263,1.05887606455403
721294,1.00090137377525
721324,1.16103247815713
721355,0.401418180421709
721386,0.404643129929793
721414,0.586769244232149
721445,0.224017699556536
721475,0.339801202283648
721506,0.236157755540627
721536,0.356871252080583
721567,0.109874704255005
721598,0.281356253564282
721628,0.0966634874992882
721659,0.164060857630604
721689,-0.0451824554009328
721720,-0.153881715652326
721751,-0.061880685989222
721780,-0.108237446939788
721811,-0.0507485943158588
721841,-0.112338009626048
721872,-0.0451266111128953
721902,-0.0858794234114121
721933,-0.146906347310346
721964,-0.195475114344592
721994,-0.116380776495644
722025,-0.369637031867345
722055,-0.0276002506122877
722086,-0.308590168051164
722117,-0.198822836311299
722145,-0.16758439228098
722176,-0.251319643200049
722206,-0.258725659960175
722237,-0.273013167110003
722267,-0.185558536294473
722298,-0.175826494549808
722329,-0.145722985768262
722359,-0.133282925535313
722390,-0.139671312010153
722420,-0.325358492658707
722451,-0.328278482191666
722482,-0.342253935978987
722510,-0.341149186233304
722541,-0.287958930892092
722571,-0.247420310685797
722602,-0.454194524834768
722632,-0.366601298039968
722663,-0.379019882828044
722694,-0.32291983245497
722724,-0.49153765947123
722755,-0.257847738106467
722785,-0.388224501198242
722816,-0.260530561811322
722847,-0.325984552026617
722875,-0.190420271500075
722906,-0.239859389548191
722936,-0.269204116069903
722967,-0.189382917013651
722997,-0.26375970656937
723028,-0.340835496379771
723059,-0.154634361803393
723089,-0.698723593819443
723120,-0.143627374917144
723150,0.108349030948909
723181,-0.0803771906070986
723212,-0.416024375050744
723241,0.25491908871084
723272,-0.481426612110065
723302,-0.0632019133346817
723333,-0.23787554330333
723363,-0.0224273268417278
723394,-0.074119217954304
723425,-0.0808347287011015
723455,-0.141800514812793
723486,0.278650035054411
723516,0.0654580551937083
723547,0.351789240702604
723578,0.0858188981425057
723606,-0.0480350936005445
723637,0.493362290139589
723667,0.336124563890181
723698,0.401996037380328
723728,0.397024456106742
723759,0.273757300987613
723790,0.378541040636362
723820,0.60784753081964
723851,0.224154785066154
723881,0.584915890287419
723912,0.750238476751107
723943,0.501186957594691
723971,0.91645757471154
724002,0.825542236653575
724032,0.745225903866857
724063,0.722292248391964
724093,0.67474055175877
724124,0.0550687600247175
724155,0.484368388839026
724185,0.261307748212854
724216,0.492744349079895
724246,0.651069640761637
724277,0.266890436988139
724308,0.196910755023475
724336,0.106449396093291
724367,0.0270443420019992
724397,-0.180561072459517
724428,-0.0194035063044342
724458,-0.160091484254629
724489,-0.216697534151703
724520,-0.127259756428609
724550,-0.113959128797687
724581,-0.0177558495082467
724611,0.0492374677879205
724642,-0.0333018491018795
724673,-0.121866734684664
724702,-0.0284168515766403
724733,0.0398865249380815
724763,-0.367103724596939
724794,-0.110129376834675
724824,-0.187446796018783
724855,0.155983701320793
724886,-0.0691267533545785
724916,-0.21572112740288
724947,-0.153660370085128
724977,-0.0169782765487305
725008,-0.136176399738299
725039,-0.20174350729594
725067,0.036855223495268
725098,-0.110396179600593
725128,-0.318865645253915
725159,0.0184166990913961
725189,-0.0244103350740252
725220,0.024326977765498
725251,0.0883653608497612
725281,0.195991641851262
725312,0.182811049950694
725342,-0.0298840469772914
725373,0.230999807656271
725404,-0.200805229221473
725432,0.577289044130013
725463,0.518184871019569
725493,0.0148224704435964
725524,0.0750501088748032
725554,0.719066418228505
725585,0.693206752464793
725616,0.317218147906944
725646,0.524427927663816
725677,0.614038058077214
725707,0.652523005442823
725738,0.520962293222507
725769,0.568322660047712
